n,W,b,Tiempo,Metodo,nodos
800,50,1688,1.59775,Backtracking_podas,23
2300,50,2935,14.3138,Backtracking_podas,38
9800,50,4233,545.846,Backtracking_podas,50
2400,50,2745,15.5082,Backtracking_podas,45
700,50,1957,1.77311,Backtracking_podas,39
5600,50,3857,64.4973,Backtracking_podas,50
165,50,852,0.157054,Backtracking_podas,166
3000,50,3051,16.3151,Backtracking_podas,42
2700,50,3258,15.6497,Backtracking_podas,42
45,50,518,0.043025,Backtracking_podas,41
195,50,963,0.229086,Backtracking_podas,242
2500,50,2772,11.8414,Backtracking_podas,39
20,50,306,0.016109,Backtracking_podas,33
25,50,406,0.022277,Backtracking_podas,11
10000,50,4302,578.77,Backtracking_podas,50
4100,50,3563,36.0089,Backtracking_podas,47
4300,50,3632,38.8123,Backtracking_podas,48
45,50,625,0.071192,Backtracking_podas,19
9200,50,4383,440.25,Backtracking_podas,50
4500,50,3543,44.5905,Backtracking_podas,55
7700,50,4224,138.348,Backtracking_podas,50
6900,50,3832,108.175,Backtracking_podas,50
600,50,1745,0.677641,Backtracking_podas,27
5900,50,3992,74.3431,Backtracking_podas,50
7100,50,4051,112.038,Backtracking_podas,50
500,50,1546,0.515712,Backtracking_podas,29
120,50,1074,0.065678,Backtracking_podas,14
8200,50,4244,164.302,Backtracking_podas,50
2100,50,2866,7.0758,Backtracking_podas,38
7800,50,4381,142.168,Backtracking_podas,50
5,50,151,0.009432,Backtracking_podas,4
4900,50,3629,52.1121,Backtracking_podas,49
35,50,307,0.020893,Backtracking_podas,67
3600,50,3552,30.0485,Backtracking_podas,48
9100,50,4492,405.634,Backtracking_podas,50
6500,50,4069,90.4905,Backtracking_podas,50
6000,50,3695,74.351,Backtracking_podas,50
200,50,987,0.233873,Backtracking_podas,106
140,50,1293,0.164699,Backtracking_podas,20
185,50,1055,0.258839,Backtracking_podas,14
55,50,362,0.058076,Backtracking_podas,148
100,50,860,0.117271,Backtracking_podas,56
4000,50,3540,32.3197,Backtracking_podas,49
7500,50,4086,122.839,Backtracking_podas,50
145,50,1277,0.127955,Backtracking_podas,145
40,50,666,0.076199,Backtracking_podas,45
400,50,1512,0.784313,Backtracking_podas,349
4400,50,3559,39.9849,Backtracking_podas,46
9700,50,4435,520.292,Backtracking_podas,50
5000,50,3959,51.0626,Backtracking_podas,50
3700,50,3600,31.3797,Backtracking_podas,52
10,50,274,0.019782,Backtracking_podas,17
10,100,253,0.016972,Backtracking_podas,14
5700,50,4185,68.9262,Backtracking_podas,50
70,50,755,0.094482,Backtracking_podas,79
130,50,652,0.180282,Backtracking_podas,58
125,50,888,0.228179,Backtracking_podas,107
85,50,908,0.11761,Backtracking_podas,14
3300,50,3403,21.222,Backtracking_podas,49
3100,50,3282,21.0992,Backtracking_podas,58
8300,50,4438,276.594,Backtracking_podas,50
3900,50,3725,33.4878,Backtracking_podas,46
5300,50,3816,55.5397,Backtracking_podas,50
8800,50,4382,347.922,Backtracking_podas,50
3200,50,3288,21.0457,Backtracking_podas,44
300,50,1301,0.424997,Backtracking_podas,37
5,20,92,0.009469,Backtracking_podas,5
7300,50,3849,118.649,Backtracking_podas,50
1800,50,2614,6.89896,Backtracking_podas,39
2600,50,2796,15.3779,Backtracking_podas,38
3800,50,3378,31.2318,Backtracking_podas,44
3500,50,3287,25.9666,Backtracking_podas,44
4800,50,3461,46.8448,Backtracking_podas,49
8100,50,4086,142.427,Backtracking_podas,50
5400,50,4037,63.2833,Backtracking_podas,50
9300,50,4543,433.449,Backtracking_podas,50
2200,50,2736,8.7437,Backtracking_podas,37
9500,50,4300,478.789,Backtracking_podas,50
30,50,457,0.039784,Backtracking_podas,84
1400,50,2482,5.57074,Backtracking_podas,37
135,50,811,0.216449,Backtracking_podas,155
105,50,793,0.110478,Backtracking_podas,25
155,50,1023,0.250851,Backtracking_podas,14
1700,50,2555,7.80708,Backtracking_podas,33
80,50,793,0.118282,Backtracking_podas,13
95,50,562,0.098071,Backtracking_podas,83
6100,50,4167,82.1593,Backtracking_podas,50
6800,50,3788,97.9689,Backtracking_podas,50
190,50,1135,0.205664,Backtracking_podas,159
8600,50,4457,320.683,Backtracking_podas,50
5800,50,3844,75.0685,Backtracking_podas,50
6400,50,4271,88.9345,Backtracking_podas,50
170,50,1165,0.215821,Backtracking_podas,18
7200,50,4142,126.148,Backtracking_podas,50
2800,50,3389,19.6018,Backtracking_podas,45
160,50,884,0.21035,Backtracking_podas,140
60,50,626,0.098409,Backtracking_podas,68
180,50,1075,0.319647,Backtracking_podas,23
8700,50,4485,327.103,Backtracking_podas,50
9600,50,4454,504.897,Backtracking_podas,50
7600,50,4262,130.088,Backtracking_podas,50
6200,50,4045,87.0376,Backtracking_podas,50
15,50,309,0.0157,Backtracking_podas,17
1200,50,2419,3.85001,Backtracking_podas,36
1000,50,2810,1.86969,Backtracking_podas,46
5100,50,3583,55.3491,Backtracking_podas,47
4600,50,3667,44.35,Backtracking_podas,57
6600,50,4074,89.4942,Backtracking_podas,50
110,50,897,0.065594,Backtracking_podas,85
7900,50,4400,136.499,Backtracking_podas,50
175,50,1097,0.159406,Backtracking_podas,301
8400,50,4396,190.216,Backtracking_podas,50
4700,50,3983,49.8737,Backtracking_podas,50
9400,50,4383,456.363,Backtracking_podas,50
5500,50,3677,61.7589,Backtracking_podas,50
115,50,853,0.115511,Backtracking_podas,291
20,50,321,0.022232,Backtracking_podas,45
4200,50,3603,37.0768,Backtracking_podas,47
2900,50,3422,17.4643,Backtracking_podas,44
900,50,2073,2.27483,Backtracking_podas,52
9000,50,4310,390.268,Backtracking_podas,50
5200,50,3697,59.7726,Backtracking_podas,48
6300,50,3962,86.9128,Backtracking_podas,50
8900,50,4340,392.366,Backtracking_podas,50
6700,50,4120,107.606,Backtracking_podas,50
3400,50,3212,24.392,Backtracking_podas,42
8500,50,4316,291.225,Backtracking_podas,50
50,50,632,0.053735,Backtracking_podas,41
150,50,890,0.236635,Backtracking_podas,240
1500,50,2689,7.70397,Backtracking_podas,37
65,50,605,0.06884,Backtracking_podas,73
1100,50,1991,4.31534,Backtracking_podas,30
2000,50,3036,12.3819,Backtracking_podas,40
1300,50,2281,4.76803,Backtracking_podas,40
1900,50,2709,8.63407,Backtracking_podas,35
75,50,700,0.097177,Backtracking_podas,206
7000,50,4264,107.95,Backtracking_podas,50
90,50,761,0.159603,Backtracking_podas,11
7400,50,4224,123.809,Backtracking_podas,50
800,50,1952,2.22332,Backtracking_podas,71
2300,50,2736,12.0893,Backtracking_podas,37
2400,50,2887,13.9442,Backtracking_podas,41
700,50,1606,1.59813,Backtracking_podas,244
5600,50,3938,73.2191,Backtracking_podas,54
165,50,852,0.146049,Backtracking_podas,166
3000,50,3247,22.2993,Backtracking_podas,47
2700,50,3383,18.6277,Backtracking_podas,42
45,50,518,0.043952,Backtracking_podas,41
195,50,963,0.182785,Backtracking_podas,242
2500,50,2932,12.4023,Backtracking_podas,40
20,50,306,0.016689,Backtracking_podas,33
25,50,406,0.014984,Backtracking_podas,11
4100,50,3028,42.5406,Backtracking_podas,42
4300,50,3706,42.1074,Backtracking_podas,48
45,50,625,0.041771,Backtracking_podas,19
4500,50,3861,43.3789,Backtracking_podas,50
7700,50,4203,146.5,Backtracking_podas,50
6900,50,4152,108.683,Backtracking_podas,50
600,50,1487,0.727403,Backtracking_podas,101
5900,50,4398,83.8241,Backtracking_podas,50
7100,50,4164,119.635,Backtracking_podas,50
500,50,1318,0.598908,Backtracking_podas,24
120,50,1074,0.12229,Backtracking_podas,14
8200,50,4156,174.471,Backtracking_podas,50
2100,50,2819,7.83333,Backtracking_podas,43
7800,50,4274,155.716,Backtracking_podas,50
9,50,317,0.01282,Backtracking_podas,21
25,50,330,0.027558,Backtracking_podas,53
29,50,452,0.022304,Backtracking_podas,56
23,50,387,0.020021,Backtracking_podas,23
6,50,169,0.019262,Backtracking_podas,12
5,50,118,0.01329,Backtracking_podas,7
26,50,400,0.042654,Backtracking_podas,51
18,50,364,0.05092,Backtracking_podas,21
10,50,184,0.015415,Backtracking_podas,7
19,50,374,0.038593,Backtracking_podas,24
28,50,375,0.021258,Backtracking_podas,20
8,50,187,0.015551,Backtracking_podas,9
17,50,251,0.017291,Backtracking_podas,12
12,50,289,0.017427,Backtracking_podas,23
11,50,281,0.01473,Backtracking_podas,8
24,50,237,0.032513,Backtracking_podas,125
21,50,240,0.024449,Backtracking_podas,19
13,50,249,0.014503,Backtracking_podas,29
15,50,131,0.012526,Backtracking_podas,34
27,50,381,0.017212,Backtracking_podas,26
20,50,271,0.026062,Backtracking_podas,46
22,50,345,0.030145,Backtracking_podas,12
16,50,341,0.01632,Backtracking_podas,15
7,50,171,0.013864,Backtracking_podas,7
14,50,154,0.013599,Backtracking_podas,31
800,50,1688,2.31685,Backtracking_podas,23
2300,50,2935,16.3737,Backtracking_podas,38
9800,50,4233,537.678,Backtracking_podas,50
2400,50,2745,11.8519,Backtracking_podas,45
700,50,1957,1.47007,Backtracking_podas,39
5600,50,3857,63.5125,Backtracking_podas,50
165,50,852,0.207622,Backtracking_podas,166
3000,50,3051,19.7912,Backtracking_podas,42
2700,50,3258,17.9317,Backtracking_podas,42
45,50,518,0.052554,Backtracking_podas,41
195,50,963,0.126477,Backtracking_podas,242
2500,50,2772,14.1957,Backtracking_podas,39
20,50,306,0.01855,Backtracking_podas,33
25,50,406,0.020974,Backtracking_podas,11
10000,50,4302,585.871,Backtracking_podas,50
4100,50,3563,36.413,Backtracking_podas,47
4300,50,3632,37.5127,Backtracking_podas,48
45,50,625,0.03651,Backtracking_podas,19
9200,50,4383,414.593,Backtracking_podas,50
4500,50,3543,41.5329,Backtracking_podas,55
7700,50,4224,143.472,Backtracking_podas,50
6900,50,3832,111.839,Backtracking_podas,50
600,50,1745,1.16387,Backtracking_podas,27
5900,50,3992,76.421,Backtracking_podas,50
7100,50,4051,113.179,Backtracking_podas,50
500,50,1546,0.478287,Backtracking_podas,29
120,50,1074,0.161266,Backtracking_podas,14
8200,50,4244,163.525,Backtracking_podas,50
2100,50,2866,10.6395,Backtracking_podas,38
7800,50,4381,134.683,Backtracking_podas,50
5,50,151,0.014232,Backtracking_podas,4
4900,50,3629,51.9469,Backtracking_podas,49
35,50,307,0.062217,Backtracking_podas,67
3600,50,3552,30.9443,Backtracking_podas,48
9100,50,4492,409.048,Backtracking_podas,50
6500,50,4069,89.7738,Backtracking_podas,50
6000,50,3695,78.5938,Backtracking_podas,50
200,50,987,0.204425,Backtracking_podas,106
140,50,1293,0.224764,Backtracking_podas,20
185,50,1055,0.19964,Backtracking_podas,14
55,50,362,0.064064,Backtracking_podas,148
100,50,860,0.122047,Backtracking_podas,56
4000,50,3540,32.9986,Backtracking_podas,49
7500,50,4086,130.45,Backtracking_podas,50
145,50,1277,0.197309,Backtracking_podas,145
40,50,666,0.05733,Backtracking_podas,45
400,50,1512,0.674353,Backtracking_podas,349
4400,50,3559,40.471,Backtracking_podas,46
9700,50,4435,524.44,Backtracking_podas,50
5000,50,3959,49.8131,Backtracking_podas,50
3700,50,3600,29.8038,Backtracking_podas,52
10,50,274,0.033735,Backtracking_podas,17
10,100,253,0.017116,Backtracking_podas,14
5700,50,4185,71.1335,Backtracking_podas,50
70,50,755,0.052978,Backtracking_podas,79
130,50,652,0.194915,Backtracking_podas,58
125,50,888,0.125979,Backtracking_podas,107
85,50,908,0.070898,Backtracking_podas,14
3300,50,3403,24.4202,Backtracking_podas,49
3100,50,3282,24.707,Backtracking_podas,58
8300,50,4438,310.558,Backtracking_podas,50
3900,50,3725,29.7692,Backtracking_podas,46
5300,50,3816,57.9555,Backtracking_podas,50
8800,50,4382,348.835,Backtracking_podas,50
3200,50,3288,20.6508,Backtracking_podas,44
300,50,1301,0.594114,Backtracking_podas,37
5,20,92,0.013529,Backtracking_podas,5
7300,50,3849,118.845,Backtracking_podas,50
1800,50,2614,4.91834,Backtracking_podas,39
2600,50,2796,17.3555,Backtracking_podas,38
3800,50,3378,32.733,Backtracking_podas,44
3500,50,3287,25.9003,Backtracking_podas,44
4800,50,3461,47.666,Backtracking_podas,49
8100,50,4086,144.335,Backtracking_podas,50
5400,50,4037,58.7522,Backtracking_podas,50
9300,50,4543,436.434,Backtracking_podas,50
2200,50,2736,10.2504,Backtracking_podas,37
9500,50,4300,485.378,Backtracking_podas,50
30,50,457,0.032731,Backtracking_podas,84
1400,50,2482,3.20874,Backtracking_podas,37
135,50,811,0.132586,Backtracking_podas,155
105,50,793,0.114386,Backtracking_podas,25
155,50,1023,0.126694,Backtracking_podas,14
1700,50,2555,5.75783,Backtracking_podas,33
80,50,793,0.063779,Backtracking_podas,13
95,50,562,0.064062,Backtracking_podas,83
6100,50,4167,81.6086,Backtracking_podas,50
6800,50,3788,97.5586,Backtracking_podas,50
190,50,1135,0.206623,Backtracking_podas,159
8600,50,4457,328.277,Backtracking_podas,50
5800,50,3844,72.8496,Backtracking_podas,50
6400,50,4271,91.4689,Backtracking_podas,50
170,50,1165,0.17077,Backtracking_podas,18
7200,50,4142,129.802,Backtracking_podas,50
2800,50,3389,17.8766,Backtracking_podas,45
160,50,884,0.148462,Backtracking_podas,140
60,50,626,0.092432,Backtracking_podas,68
180,50,1075,0.240031,Backtracking_podas,23
8700,50,4485,350.532,Backtracking_podas,50
9600,50,4454,513.533,Backtracking_podas,50
7600,50,4262,129.775,Backtracking_podas,50
6200,50,4045,85.7494,Backtracking_podas,50
15,50,309,0.016863,Backtracking_podas,17
1200,50,2419,3.63822,Backtracking_podas,36
1000,50,2810,2.50143,Backtracking_podas,46
5100,50,3583,53.3418,Backtracking_podas,47
4600,50,3667,42.9014,Backtracking_podas,57
6600,50,4074,90.865,Backtracking_podas,50
110,50,897,0.094007,Backtracking_podas,85
7900,50,4400,137.521,Backtracking_podas,50
175,50,1097,0.104448,Backtracking_podas,301
8400,50,4396,186.382,Backtracking_podas,50
4700,50,3983,49.7882,Backtracking_podas,50
9400,50,4383,466.948,Backtracking_podas,50
5500,50,3677,61.0217,Backtracking_podas,50
115,50,853,0.123766,Backtracking_podas,291
20,50,321,0.025186,Backtracking_podas,45
4200,50,3603,38.2304,Backtracking_podas,47
2900,50,3422,18.0368,Backtracking_podas,44
900,50,2073,2.19594,Backtracking_podas,52
9000,50,4310,394.168,Backtracking_podas,50
5200,50,3697,58.4911,Backtracking_podas,48
6300,50,3962,87.0461,Backtracking_podas,50
8900,50,4340,393.525,Backtracking_podas,50
6700,50,4120,105.315,Backtracking_podas,50
3400,50,3212,24.9872,Backtracking_podas,42
8500,50,4316,301.077,Backtracking_podas,50
50,50,632,0.061291,Backtracking_podas,41
150,50,890,0.160523,Backtracking_podas,240
1500,50,2689,5.58617,Backtracking_podas,37
65,50,605,0.060563,Backtracking_podas,73
1100,50,1991,2.39557,Backtracking_podas,30
2000,50,3036,8.64388,Backtracking_podas,40
1300,50,2281,3.88025,Backtracking_podas,40
1900,50,2709,9.39174,Backtracking_podas,35
75,50,700,0.078592,Backtracking_podas,206
7000,50,4264,108.043,Backtracking_podas,50
90,50,761,0.089907,Backtracking_podas,11
7400,50,4224,125.405,Backtracking_podas,50
9,50,317,0.013667,Backtracking_podas,21
25,50,330,0.031683,Backtracking_podas,53
29,50,452,0.021963,Backtracking_podas,56
23,50,387,0.017947,Backtracking_podas,23
6,50,169,0.008599,Backtracking_podas,12
5,50,118,0.008808,Backtracking_podas,7
26,50,400,0.020204,Backtracking_podas,51
18,50,364,0.015952,Backtracking_podas,21
