n,W,b,Tiempo,Metodo,Nodos
2,100,80,0.003348,Backtracking_simple,4
3,100,17,0.003967,Backtracking_simple,8
4,100,164,0.004681,Backtracking_simple,16
5,100,75,0.006171,Backtracking_simple,32
6,100,144,0.007564,Backtracking_simple,64
7,100,140,0.010759,Backtracking_simple,128
8,100,195,0.01686,Backtracking_simple,256
9,100,310,0.019088,Backtracking_simple,512
10,100,154,0.036651,Backtracking_simple,1024
11,100,207,0.093244,Backtracking_simple,2048
12,100,407,0.262233,Backtracking_simple,4096
13,100,309,0.245001,Backtracking_simple,8192
14,100,285,0.822589,Backtracking_simple,16384
15,100,236,1.26303,Backtracking_simple,32768
16,100,252,4.35678,Backtracking_simple,65536
17,100,355,5.5264,Backtracking_simple,131072
18,100,347,12.0743,Backtracking_simple,262144
19,100,380,21.1002,Backtracking_simple,524288
20,100,488,35.965,Backtracking_simple,1048576
21,100,357,83.784,Backtracking_simple,2097152
22,100,340,174.524,Backtracking_simple,4194304
23,100,331,348.386,Backtracking_simple,8388608
24,100,434,721.035,Backtracking_simple,16777216
25,100,469,1463.4,Backtracking_simple,33554432
26,100,382,3104.08,Backtracking_simple,67108864
27,100,529,6460.15,Backtracking_simple,134217728
28,100,472,16096.6,Backtracking_simple,268435456
29,100,507,28203.8,Backtracking_simple,536870912
2,100,167,0.003606,Backtracking_simple,4
3,100,86,0.003817,Backtracking_simple,8
4,100,90,0.003334,Backtracking_simple,16
5,100,182,0.004671,Backtracking_simple,32
6,100,147,0.007193,Backtracking_simple,64
7,100,228,0.008825,Backtracking_simple,128
8,100,168,0.013516,Backtracking_simple,256
9,100,282,0.048915,Backtracking_simple,512
10,100,267,0.041788,Backtracking_simple,1024
11,100,289,0.060417,Backtracking_simple,2048
12,100,262,0.224997,Backtracking_simple,4096
13,100,284,0.293502,Backtracking_simple,8192
14,100,192,0.679263,Backtracking_simple,16384
15,100,348,1.41125,Backtracking_simple,32768
16,100,198,3.25996,Backtracking_simple,65536
17,100,365,6.74142,Backtracking_simple,131072
18,100,307,12.4891,Backtracking_simple,262144
