n,W,b,Tiempo,Metodo,nodos
259,50,317,0.003982,Dinamica,
25,50,330,0.018141,Dinamica,
29,50,452,0.027262,Dinamica,
23,50,387,0.019976,Dinamica,
6,50,169,0.002338,Dinamica,
5,50,118,0.003316,Dinamica,
26,50,400,0.039554,Dinamica,
18,50,364,0.015256,Dinamica,
10,50,184,0.006115,Dinamica,
19,50,374,0.013028,Dinamica,
28,50,375,0.019212,Dinamica,
8,50,187,0.003261,Dinamica,
17,50,251,0.012507,Dinamica,
12,50,289,0.006525,Dinamica,
11,50,281,0.005103,Dinamica,
24,50,237,0.058217,Dinamica,
21,50,240,0.01624,Dinamica,
13,50,249,0.014609,Dinamica,
15,50,131,0.007495,Dinamica,
27,50,381,0.028863,Dinamica,
20,50,271,0.012519,Dinamica,
22,50,345,0.019164,Dinamica,
16,50,341,0.014192,Dinamica,
7,50,171,0.002209,Dinamica,
14,50,154,0.00776,Dinamica,
9,50,317,0.003787,Dinamica,
25,50,330,0.019092,Dinamica,
29,50,452,0.027435,Dinamica,
23,50,387,0.020609,Dinamica,
6,50,169,0.002505,Dinamica,
5,50,118,0.003918,Dinamica,
26,50,400,0.04536,Dinamica,
18,50,364,0.0449,Dinamica,
10,50,184,0.007411,Dinamica,
19,50,374,0.035077,Dinamica,
28,50,375,0.052033,Dinamica,
8,50,187,0.004085,Dinamica,
17,50,251,0.010346,Dinamica,
12,50,289,0.008562,Dinamica,
11,50,281,0.005558,Dinamica,
24,50,237,0.0352,Dinamica,
21,50,240,0.018025,Dinamica,
13,50,249,0.010636,Dinamica,
15,50,131,0.012057,Dinamica,
27,50,381,0.062057,Dinamica,
20,50,271,0.018846,Dinamica,
22,50,345,0.017636,Dinamica,
16,50,341,0.013555,Dinamica,
7,50,171,0.004007,Dinamica,
14,50,154,0.008593,Dinamica,
165,50,852,0.21257,Dinamica,
45,50,518,0.04571,Dinamica,
195,50,963,0.225878,Dinamica,
20,50,306,0.014519,Dinamica,
25,50,406,0.023831,Dinamica,
45,50,625,0.048212,Dinamica,
120,50,1074,0.324525,Dinamica,
5,50,151,0.003557,Dinamica,
35,50,307,0.072843,Dinamica,
140,50,1293,0.305756,Dinamica,
185,50,1055,0.472343,Dinamica,
55,50,362,0.052858,Dinamica,
100,50,669,0.106737,Dinamica,
145,50,1277,0.180174,Dinamica,
40,50,666,0.057238,Dinamica,
10,50,274,0.004363,Dinamica,
10,100,253,0.010037,Dinamica,
70,50,755,0.087653,Dinamica,
130,50,652,0.19391,Dinamica,
125,50,888,0.368388,Dinamica,
85,50,908,0.244827,Dinamica,
5,20,92,0.003391,Dinamica,
30,50,457,0.02956,Dinamica,
135,50,811,0.161435,Dinamica,
105,50,793,0.148856,Dinamica,
155,50,1023,0.22942,Dinamica,
80,50,793,0.103624,Dinamica,
95,50,562,0.160263,Dinamica,
190,50,1135,0.374578,Dinamica,
170,50,1165,0.441781,Dinamica,
160,50,884,0.364281,Dinamica,
60,50,626,0.160175,Dinamica,
180,50,1075,0.716511,Dinamica,
15,50,309,0.011204,Dinamica,
110,50,897,0.159542,Dinamica,
175,50,1097,0.241011,Dinamica,
115,50,853,0.12657,Dinamica,
20,50,321,0.019864,Dinamica,
50,50,632,0.10091,Dinamica,
150,50,890,0.303878,Dinamica,
65,50,605,0.110091,Dinamica,
75,50,700,0.144066,Dinamica,
90,50,761,0.286449,Dinamica,
9,50,317,0.003743,Dinamica,
25,50,330,0.024992,Dinamica,
29,50,452,0.056399,Dinamica,
23,50,387,0.016509,Dinamica,
6,50,169,0.003619,Dinamica,
5,50,118,0.001965,Dinamica,
26,50,400,0.049231,Dinamica,
18,50,364,0.034108,Dinamica,
10,50,184,0.026093,Dinamica,
19,50,374,0.01592,Dinamica,
28,50,375,0.022037,Dinamica,
8,50,187,0.003376,Dinamica,
17,50,251,0.015013,Dinamica,
12,50,289,0.015956,Dinamica,
11,50,281,0.006475,Dinamica,
24,50,237,0.061059,Dinamica,
21,50,240,0.039181,Dinamica,
13,50,249,0.011426,Dinamica,
15,50,131,0.015039,Dinamica,
27,50,381,0.023177,Dinamica,
20,50,271,0.043046,Dinamica,
22,50,345,0.052684,Dinamica,
16,50,341,0.016375,Dinamica,
7,50,171,0.003534,Dinamica,
14,50,154,0.007653,Dinamica,
800,50,1952,1.12463,Dinamica,
2300,50,2736,5.19999,Dinamica,
9800,50,4504,25.0632,Dinamica,
2400,50,2887,9.44971,Dinamica,
700,50,1606,2.01631,Dinamica,
5600,50,3938,10.9714,Dinamica,
165,50,852,0.205381,Dinamica,
3000,50,3247,4.96666,Dinamica,
2700,50,3383,5.38461,Dinamica,
45,50,518,0.048781,Dinamica,
195,50,963,0.302696,Dinamica,
2500,50,2932,5.97272,Dinamica,
20,50,306,0.022033,Dinamica,
25,50,406,0.062131,Dinamica,
10000,50,4547,25.9048,Dinamica,
4100,50,3028,8.39224,Dinamica,
4300,50,3706,10.0072,Dinamica,
45,50,625,0.101666,Dinamica,
9200,50,4085,22.2923,Dinamica,
4500,50,3861,8.71792,Dinamica,
7700,50,4203,14.8793,Dinamica,
6900,50,4152,15.3474,Dinamica,
600,50,1487,1.60158,Dinamica,
5900,50,4398,11.3899,Dinamica,
7100,50,4164,16.8631,Dinamica,
500,50,1318,0.662312,Dinamica,
120,50,1074,0.144354,Dinamica,
8200,50,4156,19.0692,Dinamica,
2100,50,2819,3.32875,Dinamica,
7800,50,4274,19.3248,Dinamica,
5,50,151,0.003491,Dinamica,
4900,50,3903,11.8661,Dinamica,
8000,50,4270,19.9637,Dinamica,
35,50,307,0.031773,Dinamica,
3600,50,3103,5.98343,Dinamica,
9100,50,4319,23.0286,Dinamica,
6500,50,3621,14.6284,Dinamica,
6000,50,4235,14.1297,Dinamica,
200,50,894,0.469955,Dinamica,
140,50,1293,0.182968,Dinamica,
185,50,1055,0.241518,Dinamica,
55,50,362,0.054377,Dinamica,
100,50,734,0.139395,Dinamica,
4000,50,3716,9.326,Dinamica,
7500,50,4154,19.2129,Dinamica,
145,50,1277,0.372074,Dinamica,
40,50,666,0.137526,Dinamica,
400,50,1489,1.41196,Dinamica,
4400,50,3480,12.6074,Dinamica,
9700,50,4245,25.0993,Dinamica,
5000,50,3956,8.38107,Dinamica,
3700,50,3459,6.39283,Dinamica,
10,50,274,0.005116,Dinamica,
10,100,253,0.011835,Dinamica,
5700,50,4038,11.063,Dinamica,
70,50,755,0.120183,Dinamica,
130,50,652,0.146832,Dinamica,
125,50,888,0.158809,Dinamica,
85,50,908,0.118169,Dinamica,
3300,50,3130,8.43047,Dinamica,
3100,50,3291,7.32615,Dinamica,
8300,50,4378,19.5962,Dinamica,
3900,50,3188,6.39383,Dinamica,
5300,50,3425,11.3777,Dinamica,
8800,50,4378,21.1202,Dinamica,
3200,50,3027,6.23463,Dinamica,
300,50,1515,0.753707,Dinamica,
5,20,92,0.002905,Dinamica,
7300,50,4169,17.819,Dinamica,
1800,50,2658,2.80267,Dinamica,
2600,50,3336,4.24046,Dinamica,
3800,50,3438,7.5204,Dinamica,
3500,50,3223,7.67628,Dinamica,
4800,50,3500,9.63653,Dinamica,
8100,50,4217,17.931,Dinamica,
5400,50,4302,12.4697,Dinamica,
9300,50,4405,23.3258,Dinamica,
2200,50,2896,5.47122,Dinamica,
9500,50,4272,23.244,Dinamica,
30,50,457,0.042139,Dinamica,
1400,50,2569,4.96994,Dinamica,
135,50,811,0.406356,Dinamica,
105,50,793,0.128446,Dinamica,
155,50,1023,0.179098,Dinamica,
1700,50,2888,2.74462,Dinamica,
80,50,793,0.119019,Dinamica,
95,50,562,0.127906,Dinamica,
6100,50,3883,13.7303,Dinamica,
6800,50,4151,17.0873,Dinamica,
190,50,1135,0.494984,Dinamica,
8600,50,4294,21.5662,Dinamica,
5800,50,3954,11.1084,Dinamica,
6400,50,3924,14.4344,Dinamica,
170,50,1165,0.350685,Dinamica,
7200,50,4152,18.566,Dinamica,
2800,50,3394,4.54814,Dinamica,
160,50,884,0.204159,Dinamica,
60,50,626,0.0694,Dinamica,
180,50,1075,0.284802,Dinamica,
8700,50,4183,21.0013,Dinamica,
9600,50,4276,23.8112,Dinamica,
7600,50,4203,19.836,Dinamica,
6200,50,4065,12.1408,Dinamica,
15,50,309,0.010723,Dinamica,
1200,50,2577,2.09855,Dinamica,
1000,50,2169,2.41921,Dinamica,
5100,50,3989,9.66194,Dinamica,
4600,50,3981,10.4772,Dinamica,
6600,50,4201,12.7058,Dinamica,
110,50,897,0.128098,Dinamica,
7900,50,4163,20.308,Dinamica,
175,50,1097,0.200711,Dinamica,
8400,50,4219,20.2014,Dinamica,
4700,50,3246,10.4154,Dinamica,
9400,50,4459,25.0088,Dinamica,
5500,50,3920,9.3363,Dinamica,
115,50,853,0.128049,Dinamica,
20,50,321,0.020475,Dinamica,
4200,50,3365,10.0013,Dinamica,
