n,W,b,Tiempo,Metodo,nodo
3400,6200,4828,21.0099,Dinamica,1537
5700,9400,6495,62.8546,Dinamica,1150
9700,6000,8113,436.095,Dinamica,6901
600,8100,2218,1.32287,Dinamica,459
3300,6300,4893,22.2428,Dinamica,1843
3600,6600,5005,28.1169,Dinamica,2002
1900,8400,3475,5.21052,Dinamica,1611
8200,2000,7429,124.22,Dinamica,1274
6000,1100,5641,66.3474,Dinamica,285
2400,8600,4134,15.0884,Dinamica,348
3300,2300,4215,22.1551,Dinamica,65
8500,700,7038,252.974,Dinamica,419
700,200,2098,0.847452,Dinamica,772
3500,1200,4513,24.3569,Dinamica,676
7200,5200,6589,103.53,Dinamica,1939
6800,7700,7068,84.2218,Dinamica,1724
9700,600,7188,442.569,Dinamica,143
3600,8300,4977,25.1594,Dinamica,734
1600,2200,3298,4.7341,Dinamica,1327
1200,6900,2768,4.00513,Dinamica,811
200,1200,975,0.131452,Dinamica,29
9600,1300,8311,404.661,Dinamica,1014
2800,5600,4318,17.2105,Dinamica,3482
6000,3300,6337,67.0413,Dinamica,917
4800,9800,6302,39.3561,Dinamica,1017
3900,1600,4222,28.7695,Dinamica,450
600,800,2348,1.20047,Dinamica,697
7300,7700,7477,94.8891,Dinamica,1192
50,7900,705,0.038177,Dinamica,48
4400,1300,5359,36.4879,Dinamica,289
4900,6600,6073,40.6634,Dinamica,2191
9500,4200,8083,419.376,Dinamica,2055
4300,5600,5464,34.6716,Dinamica,1350
6500,8600,7110,78.3522,Dinamica,2536
3900,2200,4635,29.5504,Dinamica,1456
3600,1600,4909,27.3696,Dinamica,128
9000,7900,7941,325.783,Dinamica,701
6700,9900,6644,84.6478,Dinamica,1512
7400,9700,7415,97.1479,Dinamica,885
8100,3200,7248,119.109,Dinamica,1585
8200,300,6670,126.391,Dinamica,102
9100,3100,7577,330.264,Dinamica,559
4100,500,4719,30.7196,Dinamica,80
2100,6600,3527,9.49043,Dinamica,936
9000,2000,8056,320.719,Dinamica,529
4400,6500,5249,33.7548,Dinamica,1156
4300,9700,5260,34.1475,Dinamica,500
4900,5000,6337,42.4932,Dinamica,775
8600,6600,8520,283.668,Dinamica,786
5900,3200,6182,62.8237,Dinamica,698
2000,5400,3466,9.46128,Dinamica,836
7200,7300,6888,102.006,Dinamica,2120
9900,7000,7091,481.061,Dinamica,457
5900,8500,6803,63.3997,Dinamica,1502
3600,7600,5418,28.2974,Dinamica,871
7000,1300,6740,89.2876,Dinamica,1954
6100,400,6745,67.3288,Dinamica,253
2700,4600,4027,18.0731,Dinamica,946
2300,6300,3298,9.19792,Dinamica,164
9900,7300,7587,485.782,Dinamica,1514
9100,300,7680,343.179,Dinamica,110
2400,8800,3930,12.9458,Dinamica,84
50,7600,528,0.052049,Dinamica,56
1900,9500,2813,8.01679,Dinamica,204
8000,8300,8137,116.589,Dinamica,168
8800,7400,7812,306.285,Dinamica,1955
6000,5700,6689,69.0432,Dinamica,198
6200,8500,6918,72.4278,Dinamica,1246
7900,2600,6920,115.025,Dinamica,179
2700,1700,4141,14.9284,Dinamica,450
700,3000,2372,0.850413,Dinamica,100
