n,W,b,Tiempo,Metodo,nodos
50,1800,418,0.646354,Dinamica,
6300,3400,6213,961.378,Dinamica,
6400,7000,6576,2153.65,Dinamica,
1100,6700,2900,236.402,Dinamica,
6200,7500,6725,2323.95,Dinamica,
3500,3200,4545,444.21,Dinamica,
7200,2400,6476,777.42,Dinamica,
4900,9400,6157,2226.2,Dinamica,
1000,5300,2304,170.967,Dinamica,
7100,2700,7272,889.132,Dinamica,
1900,8900,3857,639.228,Dinamica,
6200,7600,6932,2238.85,Dinamica,
5100,500,5693,98.0324,Dinamica,
2400,4600,3909,422.697,Dinamica,
1200,5100,2707,200.956,Dinamica,
6900,4400,7410,1392.79,Dinamica,
7200,7500,7283,2743.55,Dinamica,
500,3900,1720,63.204,Dinamica,
6200,6400,6654,1923.24,Dinamica,
8000,3100,7351,1144.51,Dinamica,
9200,5100,8534,2378.74,Dinamica,
7000,5300,7122,1739.59,Dinamica,
7600,400,7094,118.866,Dinamica,
2900,2700,4422,298.797,Dinamica,
9200,4700,7434,2207.92,Dinamica,
1400,7800,3045,398.824,Dinamica,
3900,9100,5493,1621.29,Dinamica,
400,900,1596,16.946,Dinamica,
9400,7700,8025,4209.81,Dinamica,
4500,600,5489,104.066,Dinamica,
1400,4400,3499,198.638,Dinamica,
1700,4800,3279,290.69,Dinamica,
9900,3700,8184,1827.97,Dinamica,
2500,10000,3869,1084.77,Dinamica,
8000,6700,7862,2715.64,Dinamica,
5300,4700,5950,1077.69,Dinamica,
10000,3200,7711,1614.21,Dinamica,
4400,2900,5521,535.398,Dinamica,
1800,1200,3696,74.8479,Dinamica,
900,6500,2294,185.204,Dinamica,
9000,7800,7630,3819.36,Dinamica,
500,2300,1806,30.1311,Dinamica,
1900,7400,3612,583.304,Dinamica,
3700,800,4833,115.653,Dinamica,
8700,3500,7221,1451.96,Dinamica,
7800,2400,7569,875.458,Dinamica,
7500,6100,6597,2392.14,Dinamica,
5300,400,5183,82.3961,Dinamica,
7800,9000,7445,3928.5,Dinamica,
7800,4700,7171,1807.63,Dinamica,
1700,5200,4119,298.74,Dinamica,
4000,5400,4995,947.076,Dinamica,
10000,7000,7682,3904.37,Dinamica,
7600,8200,6936,3485.91,Dinamica,
6500,6400,7201,2039.64,Dinamica,
2400,2100,3615,183.221,Dinamica,
4500,5700,5458,1138.94,Dinamica,
1800,3300,3249,209.164,Dinamica,
2700,3300,4058,338.109,Dinamica,
6400,4000,6700,1142.93,Dinamica,
7000,7800,6485,2890.48,Dinamica,
5700,4800,5967,1214.63,Dinamica,
8200,10000,6977,4389.01,Dinamica,
4300,5600,5464,1054.2,Dinamica,
4800,8500,5803,1905.63,Dinamica,
5800,1100,5877,263.812,Dinamica,
8500,7300,6972,3415.96,Dinamica,
9800,9500,8804,5664.58,Dinamica,
3800,4700,5097,748.793,Dinamica,
3000,7700,4794,987.411,Dinamica,
4900,500,4957,91.1182,Dinamica,
3000,4900,5304,576.105,Dinamica,
8400,5200,7530,2277.61,Dinamica,
6800,5300,6537,1888.56,Dinamica,
5700,7500,6398,2082.84,Dinamica,
8600,900,6923,360.891,Dinamica,
2600,5000,3964,489.957,Dinamica,
2400,6300,4389,575.399,Dinamica,
6600,2700,6486,767.524,Dinamica,
2200,5000,4183,395.558,Dinamica,
3700,8900,5444,1492.03,Dinamica,
7300,1600,7108,508.416,Dinamica,
600,3400,1771,58.1337,Dinamica,
5000,1300,5558,259.884,Dinamica,
2300,8900,3833,851.796,Dinamica,
5300,2500,5727,570.87,Dinamica,
3600,8700,4864,1412.63,Dinamica,
7900,9300,7100,3865.26,Dinamica,
600,900,2042,20.158,Dinamica,
5300,1900,6152,420.774,Dinamica,
8800,3200,7506,1408.13,Dinamica,
900,4100,2541,122.526,Dinamica,
800,50,1688,1.50001,Dinamica,
3200,5900,4262,790.825,Dinamica,
6600,4200,6942,1285.32,Dinamica,
7200,5200,6589,1768.48,Dinamica,
600,4400,1730,71.4392,Dinamica,
7500,1700,7360,555.013,Dinamica,
3800,4600,4619,736.586,Dinamica,
3300,6700,4466,959.085,Dinamica,
1700,600,3687,38.9778,Dinamica,
6700,3200,6735,980.922,Dinamica,
3400,3000,4525,406.74,Dinamica,
5800,6700,6728,1821.13,Dinamica,
6300,4400,6618,1254.4,Dinamica,
9800,6700,8402,3573.02,Dinamica,
900,8800,2326,259.98,Dinamica,
10000,1200,8261,578.555,Dinamica,
9100,5500,7549,2746.52,Dinamica,
1400,4700,3416,228.072,Dinamica,
5100,4500,6041,1011.14,Dinamica,
10000,4900,7684,2547.24,Dinamica,
8000,100,5530,37.8027,Dinamica,
3300,2500,4633,321.431,Dinamica,
4700,1700,6017,330.875,Dinamica,
5200,5200,5732,1198.98,Dinamica,
7900,1200,7276,407.045,Dinamica,
6200,7100,5640,2330.7,Dinamica,
8600,3500,7441,1468.72,Dinamica,
50,4700,403,2.67012,Dinamica,
7900,2000,7984,701.421,Dinamica,
7400,10000,7288,3987.12,Dinamica,
9300,200,6672,84.6337,Dinamica,
6900,2500,6250,759.817,Dinamica,
9600,9200,8483,5083.93,Dinamica,
6900,4000,6158,1271.39,Dinamica,
8800,7800,7157,3813.18,Dinamica,
2900,6400,5153,753.444,Dinamica,
2700,4200,4467,425.922,Dinamica,
8800,2400,7196,983.159,Dinamica,
800,2400,2281,59.5495,Dinamica,
3600,2200,4876,314.1,Dinamica,
400,4000,1523,44.6129,Dinamica,
3900,100,3981,17.2207,Dinamica,
2000,1600,4002,120.205,Dinamica,
3500,1600,4584,208.514,Dinamica,
7600,3200,6904,1147.24,Dinamica,
4700,9900,5922,2193.77,Dinamica,
5100,8800,6302,2198.36,Dinamica,
4400,6400,6138,1241.11,Dinamica,
5300,800,5363,162.271,Dinamica,
7600,9600,6653,3958.66,Dinamica,
5100,2700,5906,582.424,Dinamica,
4700,1100,5779,210.074,Dinamica,
9400,4000,7724,1909.27,Dinamica,
7600,5900,7053,2214.6,Dinamica,
2900,1100,4020,121.04,Dinamica,
2500,800,4596,72.6356,Dinamica,
5600,4600,6632,1131.98,Dinamica,
7900,800,7293,262.9,Dinamica,
2100,8700,3644,690.617,Dinamica,
9200,3300,7984,1460.06,Dinamica,
9800,5900,7926,2976.36,Dinamica,
100,6800,904,9.16372,Dinamica,
7300,8600,6410,3495.65,Dinamica,
100,6000,826,16.7149,Dinamica,
5000,2600,5832,535.639,Dinamica,
8100,300,7147,98.3845,Dinamica,
4600,4200,5531,814.256,Dinamica,
6400,5400,6580,1616.95,Dinamica,
9300,4500,7767,2143.04,Dinamica,
8400,7800,7131,3510.9,Dinamica,
5500,3500,6175,828.396,Dinamica,
800,5700,2168,147.197,Dinamica,
9400,900,8072,369.031,Dinamica,
4300,8500,5390,1720.85,Dinamica,
2600,7500,4524,819.997,Dinamica,
7100,4300,6842,1409.69,Dinamica,
3600,3000,4923,431.853,Dinamica,
1600,2400,3186,128.209,Dinamica,
5700,4600,5936,1174.5,Dinamica,
7600,8600,6913,3459.11,Dinamica,
6300,1900,7378,518.779,Dinamica,
8100,3600,7852,1398.85,Dinamica,
7400,7400,6449,2913.17,Dinamica,
3700,9500,4425,1751.69,Dinamica,
2100,8800,3606,776.872,Dinamica,
8600,700,7424,249.603,Dinamica,
5000,7800,5713,1944.47,Dinamica,
1800,8600,3402,620.203,Dinamica,
2800,6500,4111,735.661,Dinamica,
6800,9700,6597,3519.76,Dinamica,
2300,6300,3298,568.734,Dinamica,
2300,50,2935,6.70333,Dinamica,
3800,9700,4698,1767.82,Dinamica,
7100,5000,7104,1700.72,Dinamica,
6600,5600,5635,1785.26,Dinamica,
4900,700,5476,134.816,Dinamica,
7700,6400,8193,2437.24,Dinamica,
1100,2500,2767,91.2746,Dinamica,
2400,3700,3841,336.609,Dinamica,
300,6000,1468,51.7317,Dinamica,
6300,4200,5838,1236.94,Dinamica,
100,9600,824,15.9707,Dinamica,
7300,9000,6715,3630.31,Dinamica,
4000,5200,5531,874.336,Dinamica,
5800,5200,6192,1354.81,Dinamica,
2000,3400,3879,236.171,Dinamica,
2900,4800,4635,561.89,Dinamica,
3000,8300,4701,1032.31,Dinamica,
700,9800,2248,224.547,Dinamica,
2800,4700,4129,524.022,Dinamica,
8900,1000,7548,394.068,Dinamica,
2000,8300,3411,655.57,Dinamica,
1100,5500,2675,205.436,Dinamica,
8800,1700,7811,683.78,Dinamica,
2800,5000,4675,563.115,Dinamica,
9800,50,4233,21.5832,Dinamica,
3700,1200,4404,172.794,Dinamica,
400,6400,2124,74.8879,Dinamica,
1300,700,2775,30.0203,Dinamica,
1300,7500,2648,354.215,Dinamica,
2200,2200,3585,180.689,Dinamica,
3300,8200,5231,1265.74,Dinamica,
