n,W,b,Tiempo,Metodo,nodos
15,50,750,1.74212,Backtracking_podas,32767
33,50,1650,261429,Backtracking_podas,4294967295
8,50,400,0.053369,Backtracking_podas,255
9,50,450,0.082965,Backtracking_podas,511
31,50,1550,63296.1,Backtracking_podas,2147483647
27,50,1350,3966.32,Backtracking_podas,134217727
22,50,1100,123.169,Backtracking_podas,4194303
13,50,650,0.456692,Backtracking_podas,8191
32,50,1600,129148,Backtracking_podas,4294967295
6,50,300,0.124598,Backtracking_podas,63
10,50,500,0.088326,Backtracking_podas,1
28,50,1400,7989.63,Backtracking_podas,268435455
26,50,1300,1946.22,Backtracking_podas,67108863
7,50,350,0.114677,Backtracking_podas,127
5,50,250,0.040284,Backtracking_podas,1
16,50,800,4.08547,Backtracking_podas,65535
30,50,1500,32350.4,Backtracking_podas,1073741823
29,50,1450,16038.9,Backtracking_podas,536870911
14,50,700,0.989823,Backtracking_podas,16383
35,50,1750,1.04322e+06,Backtracking_podas,4294967295
23,50,1150,252.301,Backtracking_podas,8388607
24,50,1200,487.912,Backtracking_podas,16777215
18,50,900,12.6892,Backtracking_podas,262143
34,50,1700,516484,Backtracking_podas,4294967295
25,50,1250,1.54215,Backtracking_podas,16394
17,50,850,7.31991,Backtracking_podas,131071
12,50,600,0.167048,Backtracking_podas,4095
19,50,950,19.4584,Backtracking_podas,524287
11,50,550,0.219567,Backtracking_podas,2047
21,50,1050,68.3769,Backtracking_podas,2097151
20,50,1000,38.1649,Backtracking_podas,1048575
