n,W,b,Tiempo,Metodo,Nodos
2,100,147,0.010685,Backtracking_fact,7
3,100,105,0.011955,Backtracking_fact,14
4,100,111,0.011309,Backtracking_fact,12
5,100,145,0.011667,Backtracking_fact,17
6,100,129,0.014734,Backtracking_fact,26
7,100,357,0.016235,Backtracking_fact,84
8,100,333,0.011692,Backtracking_fact,87
9,100,281,0.011082,Backtracking_fact,89
10,100,302,0.013926,Backtracking_fact,154
11,100,277,0.180259,Backtracking_fact,85
12,100,429,0.024268,Backtracking_fact,1112
13,100,261,0.01876,Backtracking_fact,102
14,100,256,0.016475,Backtracking_fact,231
15,100,313,0.026701,Backtracking_fact,190
16,100,192,0.018516,Backtracking_fact,116
17,100,221,0.033498,Backtracking_fact,282
18,100,278,0.02947,Backtracking_fact,1155
19,100,325,0.020988,Backtracking_fact,418
20,100,300,0.035821,Backtracking_fact,1154
21,100,426,0.055856,Backtracking_fact,1367
22,100,224,0.020782,Backtracking_fact,703
23,100,413,0.081108,Backtracking_fact,3950
24,100,386,0.02486,Backtracking_fact,971
25,100,223,0.02005,Backtracking_fact,422
26,100,288,0.037089,Backtracking_fact,2031
27,100,435,0.347501,Backtracking_fact,24349
28,100,402,0.120339,Backtracking_fact,7346
29,100,536,0.508701,Backtracking_fact,22559
30,100,368,0.071403,Backtracking_fact,4899
31,100,320,0.070001,Backtracking_fact,3665
32,100,410,0.09651,Backtracking_fact,7108
33,100,482,0.152447,Backtracking_fact,5533
34,100,570,0.434647,Backtracking_fact,33074
35,100,395,0.259232,Backtracking_fact,13759
36,100,370,0.252377,Backtracking_fact,14832
37,100,752,1.45392,Backtracking_fact,106266
38,100,528,0.685228,Backtracking_fact,28062
39,100,497,0.420232,Backtracking_fact,24734
40,100,582,0.299078,Backtracking_fact,23690
41,100,454,0.300125,Backtracking_fact,22623
42,100,514,0.391939,Backtracking_fact,18478
43,100,446,0.525383,Backtracking_fact,22541
44,100,376,0.376764,Backtracking_fact,19445
45,100,549,8.19082,Backtracking_fact,472653
46,100,324,0.251278,Backtracking_fact,12407
47,100,677,1.9764,Backtracking_fact,92509
48,100,491,0.308928,Backtracking_fact,30014
49,100,500,0.967875,Backtracking_fact,38706
50,100,624,0.983622,Backtracking_fact,77676
51,100,428,0.406567,Backtracking_fact,18293
52,100,365,0.187401,Backtracking_fact,11411
53,100,706,7.52018,Backtracking_fact,685772
54,100,496,0.322567,Backtracking_fact,17976
55,100,418,0.635766,Backtracking_fact,62103
56,100,434,0.244795,Backtracking_fact,22475
57,100,599,2.62534,Backtracking_fact,186459
58,100,670,7.42635,Backtracking_fact,453223
59,100,504,2.24324,Backtracking_fact,112900
60,100,517,1.42794,Backtracking_fact,113895
61,100,653,2.72511,Backtracking_fact,200812
62,100,776,4.43392,Backtracking_fact,311396
63,100,636,11.3199,Backtracking_fact,758692
64,100,396,0.373592,Backtracking_fact,15562
65,100,558,3.25438,Backtracking_fact,327113
66,100,769,18.4837,Backtracking_fact,1436829
67,100,729,9.77144,Backtracking_fact,734211
68,100,792,3.58044,Backtracking_fact,254516
69,100,695,8.71688,Backtracking_fact,740159
70,100,937,237.229,Backtracking_fact,23852033
71,100,675,4.85388,Backtracking_fact,331488
72,100,601,8.43061,Backtracking_fact,452552
73,100,657,4.62657,Backtracking_fact,408627
74,100,769,17.2449,Backtracking_fact,1311967
75,100,810,183.62,Backtracking_fact,18255219
76,100,518,10.5014,Backtracking_fact,679049
77,100,641,4.77719,Backtracking_fact,264921
78,100,667,26.9333,Backtracking_fact,2156509
79,100,667,28.434,Backtracking_fact,2377962
80,100,559,7.89048,Backtracking_fact,601702
81,100,680,22.5043,Backtracking_fact,2370569
82,100,928,483.727,Backtracking_fact,48992227
83,100,649,13.7379,Backtracking_fact,1223568
84,100,682,39.3456,Backtracking_fact,3608256
85,100,740,21.4403,Backtracking_fact,1988975
86,100,587,13.6762,Backtracking_fact,1097865
87,100,945,173.199,Backtracking_fact,16664438
88,100,621,83.0826,Backtracking_fact,8080491
89,100,656,103.431,Backtracking_fact,10453474
90,100,521,13.8497,Backtracking_fact,996769
91,100,802,47.4376,Backtracking_fact,4824797
92,100,756,258.893,Backtracking_fact,26314758
93,100,864,423.842,Backtracking_fact,44381616
94,100,753,347.727,Backtracking_fact,36566405
95,100,719,32.4014,Backtracking_fact,2610739
96,100,843,391.612,Backtracking_fact,41503392
97,100,826,141.369,Backtracking_fact,14526710
98,100,839,41.5321,Backtracking_fact,4116217
99,100,640,135.735,Backtracking_fact,13895988
100,100,806,1482.41,Backtracking_fact,152360669
101,100,598,15.2437,Backtracking_fact,1139311
102,100,728,397.974,Backtracking_fact,37854095
103,100,814,741.737,Backtracking_fact,75189899
104,100,586,32.7413,Backtracking_fact,2915271
105,100,848,366.536,Backtracking_fact,33566124
106,100,1024,1379.01,Backtracking_fact,122549889
107,100,744,102.571,Backtracking_fact,8371797
108,100,884,139.344,Backtracking_fact,11754977
109,100,722,64.5757,Backtracking_fact,4375455
110,100,845,381.015,Backtracking_fact,27891639
111,100,592,59.7723,Backtracking_fact,3967358
112,100,834,156.663,Backtracking_fact,9786506
113,100,1004,722.029,Backtracking_fact,70695792
114,100,748,6136.32,Backtracking_fact,573276372
115,100,916,717.835,Backtracking_fact,69350766
116,100,731,56.1613,Backtracking_fact,5422689
117,100,863,1451.68,Backtracking_fact,152104596
118,100,1130,2983.74,Backtracking_fact,326015955
119,100,852,539.924,Backtracking_fact,57229591
120,100,871,217.921,Backtracking_fact,22981941
121,100,520,44.7309,Backtracking_fact,4148242
122,100,853,444.469,Backtracking_fact,47693024
123,100,573,207.18,Backtracking_fact,20211697
124,100,758,4928.7,Backtracking_fact,544128825
