n,W,b,Tiempo,Metodo
1000,1000,2142,17.3464,Dinamica
1000,1000,2797,19.649,Dinamica
1000,1000,2283,15.2038,Dinamica
1000,1000,2387,15.8292,Dinamica
1000,1000,2364,15.866,Dinamica
1000,1000,2409,16.9124,Dinamica
1000,1000,2454,15.4956,Dinamica
1000,1000,2438,16.6939,Dinamica
1000,1000,2748,16.4409,Dinamica
1000,1000,2687,15.3194,Dinamica
2000,1000,3459,33.6541,Dinamica
2000,1000,4360,35.7,Dinamica
2000,1000,3465,36.9765,Dinamica
2000,1000,4346,36.6771,Dinamica
2000,1000,3866,34.1236,Dinamica
2000,1000,3386,32.8104,Dinamica
2000,1000,3259,35.6375,Dinamica
2000,1000,3161,34.2484,Dinamica
2000,1000,3408,35.4762,Dinamica
2000,1000,3832,37.532,Dinamica
3000,1000,4386,58.9386,Dinamica
3000,1000,4189,56.7793,Dinamica
3000,1000,4593,58.2419,Dinamica
3000,1000,4013,57.5949,Dinamica
3000,1000,4829,58.5769,Dinamica
3000,1000,3843,58.865,Dinamica
3000,1000,4236,60.3014,Dinamica
3000,1000,5311,60.2284,Dinamica
3000,1000,4656,58.3038,Dinamica
3000,1000,4679,56.2441,Dinamica
4000,1000,5028,76.5101,Dinamica
4000,1000,5250,81.2963,Dinamica
4000,1000,4988,81.9639,Dinamica
4000,1000,5191,78.2192,Dinamica
4000,1000,5075,80.1992,Dinamica
4000,1000,5157,78.5478,Dinamica
4000,1000,4881,79.8841,Dinamica
4000,1000,4846,79.5552,Dinamica
4000,1000,4654,80.0312,Dinamica
4000,1000,5634,82.9541,Dinamica
5000,1000,5820,105.724,Dinamica
5000,1000,5498,102.61,Dinamica
5000,1000,5598,103.575,Dinamica
5000,1000,4989,100.204,Dinamica
5000,1000,6150,100.585,Dinamica
5000,1000,6214,104.226,Dinamica
5000,1000,5237,103.319,Dinamica
5000,1000,5132,101.437,Dinamica
5000,1000,5376,101.306,Dinamica
5000,1000,5509,101.96,Dinamica
6000,1000,6080,121.858,Dinamica
6000,1000,5682,125.563,Dinamica
6000,1000,6350,127.06,Dinamica
6000,1000,6116,123.84,Dinamica
6000,1000,5951,125.848,Dinamica
6000,1000,6909,126.434,Dinamica
6000,1000,5900,120.94,Dinamica
6000,1000,7332,123.801,Dinamica
6000,1000,5767,126.709,Dinamica
6000,1000,5502,124.444,Dinamica
7000,1000,6809,147.566,Dinamica
7000,1000,6547,150.12,Dinamica
7000,1000,7011,148.55,Dinamica
7000,1000,6714,144.234,Dinamica
7000,1000,6345,147.567,Dinamica
7000,1000,6852,144.078,Dinamica
7000,1000,6732,146.385,Dinamica
7000,1000,6531,147.619,Dinamica
7000,1000,6989,146.831,Dinamica
7000,1000,6423,148.3,Dinamica
8000,1000,7214,170.388,Dinamica
8000,1000,7702,169.465,Dinamica
8000,1000,7123,170.91,Dinamica
8000,1000,7314,170.362,Dinamica
8000,1000,7158,173.315,Dinamica
8000,1000,6983,167.932,Dinamica
8000,1000,7233,168.657,Dinamica
8000,1000,7358,169.074,Dinamica
8000,1000,7125,168.271,Dinamica
8000,1000,7533,172.534,Dinamica
9000,1000,7955,193.581,Dinamica
9000,1000,7588,192.214,Dinamica
9000,1000,7473,194.326,Dinamica
9000,1000,7408,189.564,Dinamica
9000,1000,8030,192.855,Dinamica
9000,1000,7226,191.109,Dinamica
9000,1000,8092,193.361,Dinamica
9000,1000,6831,193.381,Dinamica
9000,1000,7652,193.462,Dinamica
9000,1000,7746,193.359,Dinamica
1000,2000,2291,28.9025,Dinamica
1000,2000,2768,29.7107,Dinamica
1000,2000,2709,31.269,Dinamica
1000,2000,2950,29.9189,Dinamica
1000,2000,2062,30.2418,Dinamica
1000,2000,2837,30.9407,Dinamica
1000,2000,2751,31.0846,Dinamica
1000,2000,2378,27.9891,Dinamica
1000,2000,3062,29.5598,Dinamica
1000,2000,2325,30.5872,Dinamica
2000,2000,3607,70.612,Dinamica
2000,2000,3997,74.1724,Dinamica
2000,2000,3790,69.2754,Dinamica
2000,2000,3278,72.3296,Dinamica
