n,W,b,Tiempo,Metodo
1000,1000,2406,4.05194,Dinamica_Top_Down
2000,1000,3646,8.15251,Dinamica_Top_Down
3000,1000,4362,12.2381,Dinamica_Top_Down
4000,1000,4558,16.2793,Dinamica_Top_Down
5000,1000,5854,20.2752,Dinamica_Top_Down
6000,1000,6481,24.3247,Dinamica_Top_Down
7000,1000,7302,28.4642,Dinamica_Top_Down
8000,1000,6809,32.4771,Dinamica_Top_Down
9000,1000,7345,36.6958,Dinamica_Top_Down
10000,1000,8220,40.4795,Dinamica_Top_Down
11000,1000,8504,44.7475,Dinamica_Top_Down
12000,1000,8739,63.0251,Dinamica_Top_Down
13000,1000,9231,69.0154,Dinamica_Top_Down
14000,1000,9053,74.3481,Dinamica_Top_Down
15000,1000,9666,79.6995,Dinamica_Top_Down
16000,1000,10453,84.5479,Dinamica_Top_Down
17000,1000,9283,90.2947,Dinamica_Top_Down
18000,1000,10413,96.2781,Dinamica_Top_Down
19000,1000,10712,101.359,Dinamica_Top_Down
1000,2000,2060,8.105,Dinamica_Top_Down
2000,2000,3702,16.3801,Dinamica_Top_Down
3000,2000,4137,24.2505,Dinamica_Top_Down
4000,2000,5213,32.4466,Dinamica_Top_Down
5000,2000,6424,40.5197,Dinamica_Top_Down
6000,2000,5911,48.5269,Dinamica_Top_Down
7000,2000,5838,56.5626,Dinamica_Top_Down
8000,2000,7241,64.5608,Dinamica_Top_Down
9000,2000,8003,72.7276,Dinamica_Top_Down
10000,2000,7153,80.6577,Dinamica_Top_Down
11000,2000,8200,89.1537,Dinamica_Top_Down
12000,2000,8979,96.9742,Dinamica_Top_Down
13000,2000,8850,105.333,Dinamica_Top_Down
14000,2000,9433,112.892,Dinamica_Top_Down
15000,2000,10141,121.46,Dinamica_Top_Down
16000,2000,8969,128.87,Dinamica_Top_Down
17000,2000,10260,138.383,Dinamica_Top_Down
1000,3000,2207,12.0706,Dinamica_Top_Down
2000,3000,3382,24.5615,Dinamica_Top_Down
3000,3000,4526,36.3814,Dinamica_Top_Down
4000,3000,4732,48.4174,Dinamica_Top_Down
5000,3000,5065,60.2465,Dinamica_Top_Down
6000,3000,6234,72.9833,Dinamica_Top_Down
7000,3000,6580,84.5766,Dinamica_Top_Down
8000,3000,6567,97.6025,Dinamica_Top_Down
9000,3000,7356,125.38,Dinamica_Top_Down
10000,3000,7789,139.516,Dinamica_Top_Down
11000,3000,8252,154.342,Dinamica_Top_Down
12000,3000,8722,167.037,Dinamica_Top_Down
13000,3000,9356,181.371,Dinamica_Top_Down
14000,3000,9839,195.325,Dinamica_Top_Down
15000,3000,10165,209.681,Dinamica_Top_Down
16000,3000,10344,222.474,Dinamica_Top_Down
17000,3000,10754,238.777,Dinamica_Top_Down
1000,1000,2821,3.58378,Dinamica_Top_Down
2000,1000,3693,7.17524,Dinamica_Top_Down
3000,1000,5083,10.7864,Dinamica_Top_Down
4000,1000,4992,14.3165,Dinamica_Top_Down
5000,1000,5394,17.9257,Dinamica_Top_Down
6000,1000,6047,21.5537,Dinamica_Top_Down
7000,1000,7251,25.1555,Dinamica_Top_Down
8000,1000,7157,28.5857,Dinamica_Top_Down
9000,1000,7924,32.4318,Dinamica_Top_Down
10000,1000,7671,35.7522,Dinamica_Top_Down
11000,1000,8306,39.6697,Dinamica_Top_Down
12000,1000,8528,42.8249,Dinamica_Top_Down
13000,1000,9111,46.627,Dinamica_Top_Down
14000,1000,8713,49.918,Dinamica_Top_Down
15000,1000,9515,54.2817,Dinamica_Top_Down
16000,1000,9252,57.2136,Dinamica_Top_Down
17000,1000,10021,61.4199,Dinamica_Top_Down
18000,1000,11223,64.6964,Dinamica_Top_Down
19000,1000,11462,68.4997,Dinamica_Top_Down
1000,2000,2522,8.12142,Dinamica_Top_Down
2000,2000,3874,16.2852,Dinamica_Top_Down
3000,2000,4352,24.306,Dinamica_Top_Down
4000,2000,5349,32.3782,Dinamica_Top_Down
5000,2000,5559,40.5354,Dinamica_Top_Down
6000,2000,5637,48.4308,Dinamica_Top_Down
7000,2000,6328,56.4534,Dinamica_Top_Down
8000,2000,7096,64.7131,Dinamica_Top_Down
1000,1000,2352,4.08964,Dinamica_Top_Down
2000,1000,3536,8.12446,Dinamica_Top_Down
3000,1000,4100,12.1996,Dinamica_Top_Down
4000,1000,4577,16.1701,Dinamica_Top_Down
5000,1000,5333,20.3988,Dinamica_Top_Down
6000,1000,6192,24.3354,Dinamica_Top_Down
7000,1000,6020,28.4656,Dinamica_Top_Down
8000,1000,7074,32.2975,Dinamica_Top_Down
9000,1000,6490,36.8748,Dinamica_Top_Down
10000,1000,7810,40.9103,Dinamica_Top_Down
11000,1000,8375,44.5343,Dinamica_Top_Down
12000,1000,8555,59.3843,Dinamica_Top_Down
13000,1000,8738,68.4469,Dinamica_Top_Down
14000,1000,9167,73.6383,Dinamica_Top_Down
15000,1000,9646,78.8939,Dinamica_Top_Down
16000,1000,9998,84.8644,Dinamica_Top_Down
17000,1000,10278,90.1282,Dinamica_Top_Down
18000,1000,11346,96.1072,Dinamica_Top_Down
19000,1000,10721,100.875,Dinamica_Top_Down
1000,20000,2595,1015.43,Dinamica_Top_Down
1000,20000,2696,71.8252,Dinamica_Top_Down
1000,1000,2198,4.04305,Dinamica_Top_Down
2000,1000,3571,8.1646,Dinamica_Top_Down
3000,1000,4049,12.1459,Dinamica_Top_Down
4000,1000,5572,16.3055,Dinamica_Top_Down
5000,1000,5667,20.2631,Dinamica_Top_Down
6000,1000,5897,24.375,Dinamica_Top_Down
7000,1000,6258,28.4472,Dinamica_Top_Down
8000,1000,6871,32.4679,Dinamica_Top_Down
9000,1000,7030,36.6161,Dinamica_Top_Down
1000,2000,2763,8.0371,Dinamica_Top_Down
2000,2000,3508,16.141,Dinamica_Top_Down
3000,2000,4193,24.2925,Dinamica_Top_Down
4000,2000,5233,32.418,Dinamica_Top_Down
5000,2000,5726,40.3493,Dinamica_Top_Down
6000,2000,6193,48.5123,Dinamica_Top_Down
7000,2000,7434,57.0804,Dinamica_Top_Down
8000,2000,7181,64.8014,Dinamica_Top_Down
9000,2000,8136,81.8511,Dinamica_Top_Down
1000,3000,2504,15.7468,Dinamica_Top_Down
2000,3000,3412,31.5157,Dinamica_Top_Down
3000,3000,4521,47.3623,Dinamica_Top_Down
4000,3000,5063,62.9538,Dinamica_Top_Down
5000,3000,5247,78.5579,Dinamica_Top_Down
6000,3000,6349,94.7204,Dinamica_Top_Down
7000,3000,6197,110.372,Dinamica_Top_Down
8000,3000,7411,125.615,Dinamica_Top_Down
9000,3000,7969,142.049,Dinamica_Top_Down
1000,4000,2123,20.8525,Dinamica_Top_Down
2000,4000,4089,42.0773,Dinamica_Top_Down
3000,4000,4341,62.9275,Dinamica_Top_Down
4000,4000,5196,83.9404,Dinamica_Top_Down
5000,4000,6140,105.014,Dinamica_Top_Down
6000,4000,5426,126.086,Dinamica_Top_Down
7000,4000,7156,147.274,Dinamica_Top_Down
8000,4000,6670,169.097,Dinamica_Top_Down
9000,4000,7985,188.661,Dinamica_Top_Down
1000,5000,2406,26.4067,Dinamica_Top_Down
2000,5000,3484,52.4122,Dinamica_Top_Down
3000,5000,4537,78.682,Dinamica_Top_Down
4000,5000,5287,105.089,Dinamica_Top_Down
5000,5000,5676,131.212,Dinamica_Top_Down
6000,5000,6241,157.421,Dinamica_Top_Down
7000,5000,6247,183.375,Dinamica_Top_Down
8000,5000,7395,210.701,Dinamica_Top_Down
9000,5000,7770,236.075,Dinamica_Top_Down
1000,6000,2519,31.4678,Dinamica_Top_Down
2000,6000,3863,62.8327,Dinamica_Top_Down
3000,6000,4148,91.6905,Dinamica_Top_Down
4000,6000,5614,111.311,Dinamica_Top_Down
5000,6000,6072,139.438,Dinamica_Top_Down
6000,6000,6112,167.467,Dinamica_Top_Down
7000,6000,6789,194.567,Dinamica_Top_Down
8000,6000,6887,223.138,Dinamica_Top_Down
9000,6000,7169,251.543,Dinamica_Top_Down
1000,7000,2781,32.6204,Dinamica_Top_Down
2000,7000,3743,65.0797,Dinamica_Top_Down
3000,7000,4501,97.711,Dinamica_Top_Down
4000,7000,5590,130.224,Dinamica_Top_Down
5000,7000,5741,162.295,Dinamica_Top_Down
6000,7000,5920,194.76,Dinamica_Top_Down
7000,7000,6691,227.309,Dinamica_Top_Down
8000,7000,7155,260.017,Dinamica_Top_Down
9000,7000,8282,293.07,Dinamica_Top_Down
1000,8000,2948,37.2692,Dinamica_Top_Down
2000,8000,4125,74.3368,Dinamica_Top_Down
3000,8000,5054,111.719,Dinamica_Top_Down
4000,8000,4931,148.211,Dinamica_Top_Down
5000,8000,5370,185.888,Dinamica_Top_Down
6000,8000,6652,221.025,Dinamica_Top_Down
7000,8000,6750,225.103,Dinamica_Top_Down
8000,8000,7839,258.615,Dinamica_Top_Down
9000,8000,7564,292.534,Dinamica_Top_Down
1000,9000,2802,36.4525,Dinamica_Top_Down
2000,9000,3651,72.4889,Dinamica_Top_Down
3000,9000,5194,109.096,Dinamica_Top_Down
4000,9000,5229,144.857,Dinamica_Top_Down
5000,9000,5814,181.166,Dinamica_Top_Down
6000,9000,5961,217.926,Dinamica_Top_Down
7000,9000,7501,253.841,Dinamica_Top_Down
8000,9000,6433,289.842,Dinamica_Top_Down
9000,9000,7230,326.531,Dinamica_Top_Down
1000,10000,2507,40.3791,Dinamica_Top_Down
2000,10000,3159,80.3211,Dinamica_Top_Down
3000,10000,4878,121.072,Dinamica_Top_Down
4000,10000,4904,160.899,Dinamica_Top_Down
5000,10000,6162,201.644,Dinamica_Top_Down
6000,10000,5740,241.513,Dinamica_Top_Down
7000,10000,6719,299.717,Dinamica_Top_Down
8000,10000,6619,371.252,Dinamica_Top_Down
9000,10000,8032,420.043,Dinamica_Top_Down
1000,11000,2398,51.1879,Dinamica_Top_Down
2000,11000,3582,102.366,Dinamica_Top_Down
3000,11000,3796,153.185,Dinamica_Top_Down
4000,11000,5482,204.04,Dinamica_Top_Down
5000,11000,5948,255.746,Dinamica_Top_Down
6000,11000,6484,305.949,Dinamica_Top_Down
7000,11000,6375,356.229,Dinamica_Top_Down
8000,11000,6380,409.864,Dinamica_Top_Down
9000,11000,7295,458.191,Dinamica_Top_Down
1000,12000,2539,55.8748,Dinamica_Top_Down
2000,12000,3721,111.222,Dinamica_Top_Down
3000,12000,4511,162.371,Dinamica_Top_Down
4000,12000,4463,193.524,Dinamica_Top_Down
5000,12000,6421,242.39,Dinamica_Top_Down
6000,12000,7488,289.901,Dinamica_Top_Down
7000,12000,6932,339.19,Dinamica_Top_Down
8000,12000,7054,385.651,Dinamica_Top_Down
9000,12000,7993,434.58,Dinamica_Top_Down
1000,13000,2797,52.5603,Dinamica_Top_Down
2000,13000,3379,104.963,Dinamica_Top_Down
3000,13000,4494,156.899,Dinamica_Top_Down
4000,13000,4834,209.149,Dinamica_Top_Down
5000,13000,5466,261.941,Dinamica_Top_Down
6000,13000,6478,313.94,Dinamica_Top_Down
7000,13000,7470,366.925,Dinamica_Top_Down
8000,13000,6680,457.491,Dinamica_Top_Down
9000,13000,7274,541.063,Dinamica_Top_Down
1000,14000,2608,65.0989,Dinamica_Top_Down
2000,14000,3549,129.877,Dinamica_Top_Down
3000,14000,4105,195.511,Dinamica_Top_Down
4000,14000,4470,259.949,Dinamica_Top_Down
5000,14000,5812,325.574,Dinamica_Top_Down
6000,14000,6711,389.581,Dinamica_Top_Down
7000,14000,6311,459.37,Dinamica_Top_Down
8000,14000,7811,521.459,Dinamica_Top_Down
9000,14000,7793,563.535,Dinamica_Top_Down
1000,15000,2754,60.4177,Dinamica_Top_Down
2000,15000,3336,120.716,Dinamica_Top_Down
3000,15000,4486,181.12,Dinamica_Top_Down
4000,15000,5075,241.033,Dinamica_Top_Down
5000,15000,5829,302.118,Dinamica_Top_Down
6000,15000,6195,362.224,Dinamica_Top_Down
7000,15000,6684,423.096,Dinamica_Top_Down
8000,15000,7028,483.328,Dinamica_Top_Down
9000,15000,7229,544.124,Dinamica_Top_Down
1000,16000,2105,64.363,Dinamica_Top_Down
2000,16000,3533,129.001,Dinamica_Top_Down
3000,16000,4634,193.948,Dinamica_Top_Down
4000,16000,4924,257.824,Dinamica_Top_Down
5000,16000,6064,357.232,Dinamica_Top_Down
6000,16000,6015,444.883,Dinamica_Top_Down
7000,16000,6887,520.633,Dinamica_Top_Down
8000,16000,7480,595.251,Dinamica_Top_Down
9000,16000,7316,667.145,Dinamica_Top_Down
1000,17000,2482,78.6577,Dinamica_Top_Down
2000,17000,3505,157.975,Dinamica_Top_Down
3000,17000,4705,236.339,Dinamica_Top_Down
4000,17000,4600,314.95,Dinamica_Top_Down
5000,17000,6320,391.719,Dinamica_Top_Down
6000,17000,5606,411.308,Dinamica_Top_Down
7000,17000,7298,478.277,Dinamica_Top_Down
8000,17000,7515,553.096,Dinamica_Top_Down
9000,17000,7891,619.823,Dinamica_Top_Down
1000,18000,2733,72.3353,Dinamica_Top_Down
2000,18000,3677,145.175,Dinamica_Top_Down
3000,18000,4593,217.849,Dinamica_Top_Down
4000,18000,5770,290.479,Dinamica_Top_Down
5000,18000,6038,362.32,Dinamica_Top_Down
6000,18000,6242,435.684,Dinamica_Top_Down
7000,18000,6725,584.707,Dinamica_Top_Down
8000,18000,6751,669.163,Dinamica_Top_Down
9000,18000,6845,753.758,Dinamica_Top_Down
1000,19000,2678,88.115,Dinamica_Top_Down
2000,19000,3470,176.132,Dinamica_Top_Down
3000,19000,4597,264.341,Dinamica_Top_Down
4000,19000,4825,352.27,Dinamica_Top_Down
5000,19000,5355,440.953,Dinamica_Top_Down
6000,19000,6297,505.656,Dinamica_Top_Down
7000,19000,6434,535.806,Dinamica_Top_Down
8000,19000,7379,611.494,Dinamica_Top_Down
9000,19000,6517,685.09,Dinamica_Top_Down
1000,20000,2213,80.331,Dinamica_Top_Down
2000,20000,3965,160.843,Dinamica_Top_Down
3000,20000,3884,240.535,Dinamica_Top_Down
4000,20000,5232,322.546,Dinamica_Top_Down
5000,20000,6286,404.439,Dinamica_Top_Down
6000,20000,6254,483.763,Dinamica_Top_Down
7000,20000,6595,656.829,Dinamica_Top_Down
8000,20000,6897,743.341,Dinamica_Top_Down
9000,20000,7775,836.351,Dinamica_Top_Down
1000,21000,2265,98.6418,Dinamica_Top_Down
2000,21000,3311,194.373,Dinamica_Top_Down
3000,21000,3964,291.576,Dinamica_Top_Down
4000,21000,5480,389.432,Dinamica_Top_Down
5000,21000,6248,481.683,Dinamica_Top_Down
6000,21000,6192,505.312,Dinamica_Top_Down
7000,21000,7492,590.944,Dinamica_Top_Down
8000,21000,7081,675.899,Dinamica_Top_Down
9000,21000,7694,759.227,Dinamica_Top_Down
1000,22000,2642,88.7962,Dinamica_Top_Down
2000,22000,3672,177.295,Dinamica_Top_Down
3000,22000,5206,265.356,Dinamica_Top_Down
4000,22000,5542,353.783,Dinamica_Top_Down
5000,22000,5665,477.649,Dinamica_Top_Down
6000,22000,6474,615.399,Dinamica_Top_Down
7000,22000,6670,712.618,Dinamica_Top_Down
8000,22000,6648,814.916,Dinamica_Top_Down
9000,22000,6562,915.37,Dinamica_Top_Down
1000,23000,2683,106.58,Dinamica_Top_Down
